comments,professor_name,school_name,department_name,gender,sentences
"Dr. Hon is an amazing human being. She is someone you would want in your life even as a friend! PR Research with her was great. Super helpful, willing to work with you and she was extremely understanding. I wish she taught another course to take her again.",Hon  Linda,University of Florida,Communication department,female,"['Dr. Hon is an amazing human being.', 'She is someone you would want in your life even as a friend!', 'PR Research with her was great.', 'Super helpful, willing to work with you and she was extremely understanding.', 'I wish she taught another course to take her again.']"
"Excellent course, though would have preferred if it hadn\'t been combined with ADV6006. Her enthusiasm is contagious! Sometimes too much powerpoint, but she is an awesome professor overall. I learned a lot and earned an ""A."" She is very clear about her expectations. Follow her guidelines and you\'ll be just fine.",Hon  Linda,University of Florida,Communication department,female,"[""Excellent course, though would have preferred if it hadn\\'t been combined with ADV6006."", 'Her enthusiasm is contagious!', 'Sometimes too much powerpoint, but she is an awesome professor overall.', 'I learned a lot and earned an ""A"".', 'She is very clear about her expectations.', ""Follow her guidelines and you\\'ll be just fine.""]"
Very enthusiastic and helpful. Her high energy level is sometimes exhausting.,Hon  Linda,University of Florida,Communication department,female,"['Very enthusiastic and helpful.', 'Her high energy level is sometimes exhausting.']"
No Comments,Hon  Linda,University of Florida,Communication department,female,['No Comments']
"Mrs. Mitchell is definitely the best teacher I ever had. She is caring, motivational, and wants you to succeed. She is brilliant and gives amazing lectures. She can be a tough grader but clearly states what she is looking for. Be sure to participate in discussions, she loves that. MAM will not only teach you theatre, she will teach you life lessons",Margaret  Mitchell,University of the Incarnate Word,Theater department,male,"['Mrs. Mitchell is definitely the best teacher I ever had.', 'She is caring, motivational, and wants you to succeed.', 'She is brilliant and gives amazing lectures.', 'She can be a tough grader but clearly states what she is looking for.', 'Be sure to participate in discussions, she loves that.', 'MAM will not only teach you theatre, she will teach you life lessons']"
"MAM is inspirational! This class was fun and thorough, helping me learn about each play we analyzed. She never says your answer is wrong, but helps steer you into the right direction. I would LOVE to take this class again!",Margaret  Mitchell,University of the Incarnate Word,Theater department,male,"['MAM is inspirational!', 'This class was fun and thorough, helping me learn about each play we analyzed.', 'She never says your answer is wrong, but helps steer you into the right direction.', 'I would LOVE to take this class again!']"
"MAM is the bomb! She\'s a tough grader, but an extremely brilliant woman. You can learn so much if you listen and are involved in class. Do your work, show up to class, buy the book, study for exams/quizzes, and enjoy the classes she teaches!",Margaret  Mitchell,University of the Incarnate Word,Theater department,male,"['MAM is the bomb!', ""She\\'s a tough grader, but an extremely brilliant woman."", 'You can learn so much if you listen and are involved in class.', 'Do your work, show up to class, buy the book, study for exams/quizzes, and enjoy the classes she teaches!']"
She great! I love her. She tough yet hepfull!!!!,Margaret  Mitchell,University of the Incarnate Word,Theater department,male,"['She great!', 'I love her.', 'She tough yet hepfull!', '!', '!', '!']"
"i really learnes tons from her even though she might think otherwise, but it was in her classes that I learned what I remember most about college, one of the most talented person i\'ve met.",Margaret  Mitchell,University of the Incarnate Word,Theater department,male,"[""i really learnes tons from her even though she might think otherwise, but it was in her classes that I learned what I remember most about college, one of the most talented person i\\'ve met.""]"
"Margaret is great. She\'s so engaging and has so much to teach. She expects a lot, so only take her if you are prepared to work. Working for her is very rewarding, you\'ll learn so much.",Margaret  Mitchell,University of the Incarnate Word,Theater department,male,"['Margaret is great.', ""She\\'s so engaging and has so much to teach."", 'She expects a lot, so only take her if you are prepared to work.', ""Working for her is very rewarding, you\\'ll learn so much.""]"
